Date,Mu2Ch12,Mu2Ch13,Mu2Ch23,Icorr213,Icorr212,Icorr223
2022-07-06 07:00:00+00:00,19596,10146,20671,10148,19600,20675
2022-07-06 08:00:00+00:00,19836,10146,20437,10147,19838,20439
2022-07-06 09:00:00+00:00,20068,10365,20622,10366,20070,20624
2022-07-06 10:00:00+00:00,20021,10414,20729,10414,20021,20729
2022-07-06 11:00:00+00:00,19935,10364,20761,10363,19934,20759
2022-07-06 12:00:00+00:00,19795,10155,20619,10155,19796,20620
2022-07-06 13:00:00+00:00,19900,10250,20599,10254,19907,20607
2022-07-06 14:00:00+00:00,19941,10307,20753,10313,19952,20766
2022-07-06 15:00:00+00:00,19911,10247,20641,10256,19926,20658
2022-07-06 16:00:00+00:00,20096,10332,20804,10343,20115,20826
2022-07-06 17:00:00+00:00,19917,10189,20868,10199,19935,20889
2022-07-06 18:00:00+00:00,19856,10152,20474,10161,19872,20492
2022-07-06 19:00:00+00:00,20013,10478,20657,10485,20025,20671
2022-07-06 20:00:00+00:00,19945,10266,20620,10271,19954,20630
2022-07-06 21:00:00+00:00,19703,10180,20478,10184,19710,20486
2022-07-06 22:00:00+00:00,19741,10184,20521,10186,19745,20525
2022-07-06 23:00:00+00:00,19535,10116,20372,10115,19534,20370
2022-07-07 00:00:00+00:00,19486,10152,20503,10149,19482,20498
2022-07-07 01:00:00+00:00,19696,10152,20264,10146,19685,20252
2022-07-07 02:00:00+00:00,19644,10089,20227,10084,19636,20219
2022-07-07 03:00:00+00:00,19797,10238,20497,10233,19788,20487
2022-07-07 04:00:00+00:00,19614,10053,20398,10048,19606,20389
2022-07-07 05:00:00+00:00,19450,10193,20466,10192,19449,20464
2022-07-07 06:00:00+00:00,19754,10041,20282,10040,19753,20280
2022-07-07 07:00:00+00:00,19577,10103,20537,10101,19575,20534
2022-07-07 08:00:00+00:00,19838,10154,20616,10152,19835,20613
2022-07-07 09:00:00+00:00,19715,10295,20642,10295,19715,20642
2022-07-07 10:00:00+00:00,19944,10204,20649,10204,19945,20650
2022-07-07 11:00:00+00:00,19921,10312,20768,10312,19922,20769
2022-07-07 12:00:00+00:00,19865,10395,20900,10396,19867,20902
2022-07-07 13:00:00+00:00,19962,10247,20738,10252,19971,20748
2022-07-07 14:00:00+00:00,19897,10249,20629,10256,19909,20643
2022-07-07 15:00:00+00:00,19944,10221,20562,10229,19958,20578
2022-07-07 16:00:00+00:00,19869,10322,20590,10331,19884,20607
2022-07-07 17:00:00+00:00,19796,10299,20695,10305,19807,20707
2022-07-07 18:00:00+00:00,20075,10421,20829,10425,20083,20838
2022-07-07 19:00:00+00:00,19772,10382,20637,10387,19781,20647
2022-07-07 20:00:00+00:00,19617,10055,20203,10060,19627,20214
2022-07-07 21:00:00+00:00,19460,9987,20168,9992,19469,20178
2022-07-07 22:00:00+00:00,19585,10200,20449,10202,19589,20453
2022-07-07 23:00:00+00:00,19403,10001,20313,10002,19405,20315
2022-07-08 00:00:00+00:00,19544,9999,20314,9998,19543,20312
2022-07-08 01:00:00+00:00,19605,10122,20237,10122,19606,20238
2022-07-08 02:00:00+00:00,19327,9917,20094,9919,19331,20098
2022-07-08 03:00:00+00:00,19405,10080,20191,10082,19409,20195
2022-07-08 04:00:00+00:00,19494,10190,20478,10195,19503,20488
2022-07-08 05:00:00+00:00,19590,10093,20435,10103,19607,20454
2022-07-08 06:00:00+00:00,19335,9895,19957,9906,19355,19979
2022-07-08 07:00:00+00:00,19505,10088,20302,10099,19525,20325
2022-07-08 08:00:00+00:00,19751,10174,20361,10186,19771,20384
2022-07-08 09:00:00+00:00,19486,10083,20228,10094,19506,20251
2022-07-08 10:00:00+00:00,19695,10164,20463,10176,19716,20487
2022-07-08 11:00:00+00:00,19888,10244,20610,10255,19907,20632
2022-07-08 12:00:00+00:00,19754,10302,20606,10316,19777,20632
2022-07-08 13:00:00+00:00,19864,10283,20629,10301,19894,20664
2022-07-08 14:00:00+00:00,19476,9998,20316,10017,19509,20354
2022-07-08 15:00:00+00:00,19807,10332,20759,10355,19846,20803
2022-07-08 16:00:00+00:00,19717,10309,20663,10332,19756,20708
2022-07-08 17:00:00+00:00,19726,10145,20551,10167,19764,20595
2022-07-08 18:00:00+00:00,19665,10216,20596,10239,19703,20640
2022-07-08 19:00:00+00:00,19720,10237,20746,10257,19754,20786
2022-07-08 20:00:00+00:00,19335,9822,20122,9839,19365,20156
2022-07-08 21:00:00+00:00,19586,10065,20117,10081,19614,20149
2022-07-08 22:00:00+00:00,19647,10217,20419,10233,19675,20451
2022-07-08 23:00:00+00:00,19524,10027,20040,10041,19549,20068
2022-07-09 00:00:00+00:00,19442,9966,20219,9980,19466,20246
2022-07-09 01:00:00+00:00,19234,9907,20183,9919,19255,20208
2022-07-09 02:00:00+00:00,19630,10084,20445,10099,19656,20475
2022-07-09 03:00:00+00:00,19441,9975,20185,9992,19470,20218
2022-07-09 04:00:00+00:00,19280,10027,20260,10045,19311,20295
2022-07-09 05:00:00+00:00,19554,10139,20267,10163,19595,20314
2022-07-09 06:00:00+00:00,19495,10067,20391,10094,19541,20444
2022-07-09 07:00:00+00:00,19536,10111,20279,10138,19582,20332
2022-07-09 08:00:00+00:00,19162,9926,20018,9955,19211,20074
2022-07-09 09:00:00+00:00,19693,10110,20315,10139,19744,20372
2022-07-09 10:00:00+00:00,19539,10092,20367,10119,19585,20420
2022-07-09 11:00:00+00:00,19779,10160,20492,10186,19824,20543
2022-07-09 12:00:00+00:00,19600,9963,20423,9989,19644,20474
2022-07-09 13:00:00+00:00,19675,10190,20371,10220,19727,20430
2022-07-09 14:00:00+00:00,19937,10380,20613,10415,19995,20679
2022-07-09 15:00:00+00:00,19290,10019,20405,10054,19350,20474
2022-07-09 16:00:00+00:00,19442,10087,20263,10122,19502,20332
2022-07-09 17:00:00+00:00,19766,10223,20563,10256,19823,20628
2022-07-09 18:00:00+00:00,19572,10030,20156,10061,19625,20216
2022-07-09 19:00:00+00:00,19534,10006,20139,10037,19587,20199
2022-07-09 20:00:00+00:00,19318,9983,20217,10012,19368,20274
2022-07-09 21:00:00+00:00,19633,10174,20399,10203,19682,20455
2022-07-09 22:00:00+00:00,19461,10100,20208,10125,19504,20257
2022-07-09 23:00:00+00:00,19436,10128,20289,10152,19477,20336
2022-07-10 00:00:00+00:00,19562,10188,20521,10209,19597,20561
2022-07-10 01:00:00+00:00,19358,9986,19833,10004,19389,19867
2022-07-10 02:00:00+00:00,19300,9915,19992,9933,19332,20028
2022-07-10 03:00:00+00:00,19325,10058,20208,10076,19356,20243
2022-07-10 04:00:00+00:00,19229,9892,20017,9911,19261,20054
2022-07-10 05:00:00+00:00,19445,10034,20130,10056,19483,20173
2022-07-10 06:00:00+00:00,19463,9982,20242,10006,19504,20289
2022-07-10 07:00:00+00:00,19904,10225,20313,10248,19944,20358
2022-07-10 08:00:00+00:00,19551,9997,20088,10018,19588,20130
2022-07-10 09:00:00+00:00,19451,10017,20102,10037,19486,20141
2022-07-10 10:00:00+00:00,19568,10046,20233,10066,19603,20273
2022-07-10 11:00:00+00:00,19570,10075,20286,10095,19605,20326
2022-07-10 12:00:00+00:00,19597,10071,20445,10092,19633,20486
